Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
Sanitarium,Adventure,"Adventure, Point & Click, Horror, Psychological Horror, Classic, Atmospheric, Retro, Story Rich, 1990's, Dark, Puzzle, Isometric, Surreal, Singleplayer, Mystery, Great Soundtrack, Cult Classic, Thriller, Narration, Supernatural",0.0,0.0,Dotemu,"30 Apr, 1998",Dotemu,Dotemu,"English, French, German",985,"(1,045)",60,"120.000,00₫",-45%
Citadel: Forged with Fire,"Action, Adventure, Indie, Massively Multiplayer, RPG","Open World, RPG, Massively Multiplayer, Survival, Magic, Open World Survival Craft, Fantasy, Adventure, Sandbox, Action, Multiplayer, Crafting, MMORPG, Indie, Dragons, Base Building, Early Access, Building, First-Person, PvP",0.0,0.0,,"1 Nov, 2019",Blue Isle Studios,Blue Isle Publishing,"English, French, Italian, German, Spanish - Spain, Russian, Japanese, Simplified Chinese","(3,956)","(5,777)","(1,821)","310.000,00₫",-75%
Deus Ex: Invisible War,Action,"Cyberpunk, Action, FPS, RPG, Sci-fi, Stealth, Singleplayer, Immersive Sim, Transhumanism, First-Person, Dystopian, Female Protagonist, Shooter, Story Rich, Atmospheric, Illuminati, Classic, Action RPG, Conspiracy, Adventure",0.0,0.0,Deus Ex,"5 Mar, 2004",Ion Storm,Eidos Interactive Corp.,English,"(1,182)","(2,065)",883,"115.500,00₫",-86%
Toukiden 2,Action,"Action, Open World, Hunting, Action RPG, Character Customization, Hack and Slash, Co-op, Anime, JRPG, RPG, Controller, Singleplayer, Online Co-Op, Multiplayer, Third Person, Demons",1.0,0.0,"KOEI TECMO GAMES CO., LTD.","21 Mar, 2017","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","English, Japanese","(1,086)","(1,361)",275,"480.000,00₫",
Project Nimbus: Complete Edition,"Action, Indie","Mechs, Action, Indie, Robots, Anime, Sci-fi, Fast-Paced, Singleplayer, Flight, Great Soundtrack, RPG, Early Access, Female Protagonist",1.0,0.0,"GameTomo Co., Ltd.","26 Sep, 2017",GameCrafterTeam,"GameTomo Co., Ltd.","English, Thai, Japanese","(1,299)","(1,520)",221,"102.000,00₫",-85%
Screeps: Arena,"Indie, Simulation, Strategy, Early Access","Early Access, Programming, Strategy, PvP, eSports, Asynchronous Multiplayer, Artificial Intelligence, Automation, RTS, Turn-Based Strategy, Real Time Tactics, Building, Turn-Based Tactics, Tower Defense, Base Building, Simulation, Economy, Management, Logic, Science",0.0,0.0,Screeps,"7 Apr, 2022","Screeps, LLC","Screeps, LLC",English,74,86,12,"188.000,00₫",-10%
Apocalyptic Vibes,"Action, Adventure, Indie","Post-apocalyptic, Action, Atmospheric, Singleplayer, Immersive Sim, FPS, Shooter, Realistic, Action-Adventure, Exploration, 2.5D, Souls-like, Nonlinear, 6DOF, Adventure, Retro, 2D, Survival, Loot, Sci-fi",0.0,1.0,,"1 Mar, 2023",Amanito Computing,Amanito Computing,"English, Russian",132,153,21,"260.000,00₫",-20%
Glider Sim,"Casual, Massively Multiplayer, Simulation, Sports, Early Access","Casual, Simulation, Sports, Exploration, Flight, 3D, Immersive Sim, Cinematic, First-Person, Realistic, VR, Early Access, Third Person, Open World, Physics, Multiplayer",0.0,0.0,,"28 Jan, 2021",Joey Sipos,5D Realities,English,99,112,13,"220.000,00₫",-15%
TRANSFORMERS: BATTLEGROUNDS,Strategy,"Turn-Based Tactics, Turn-Based Strategy, Robots, Strategy, Singleplayer, Local Co-Op, 3D, Action, Adventure, RPG, Simulation, Arcade, Action-Adventure, Tactical RPG, Strategy RPG, Exploration, Isometric, Cartoon, Aliens, Funny",1.0,0.0,Outright Games,"22 Oct, 2020",Coatsink,Outright Games Ltd.,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America",79,97,18,"220.000,00₫",-70%
新叶旅者与少年的回忆,"Adventure, RPG, Simulation","Simulation, RPG, Farming Sim, Dating Sim, Word Game, JRPG, Strategy RPG, 2D Platformer, Exploration, CRPG, Dungeon Crawler, 2D, Pixel Graphics, Anime, Medieval, Drama, Fantasy, Relaxing, Funny, Cooking",0.0,0.0,,"3 Nov, 2023",project bamboo,project bamboo,"English, Simplified Chinese",57,60,3,"59.000,00₫",
Paper Beast,"Adventure, Casual, Indie, Simulation","Adventure, Exploration, Nature, VR, Physics, Puzzle, Sandbox, Surreal, Colorful, Atmospheric, Singleplayer, Beautiful, Choose Your Own Adventure, Mystery, Stylized, Indie, Casual, Puzzle Platformer, God Game, Logic",1.0,0.0,PID Games,"24 Jul, 2020",Pixel Reef,Pixel Reef,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese, Korean, Russian, Traditional Chinese",525,554,29,"188.000,00₫",-65%
Seasons after Fall,"Adventure, Indie","Adventure, Indie, Platformer, Great Soundtrack, Atmospheric, Cute, Puzzle Platformer, Singleplayer, Hand-drawn, 2D, Fantasy, Puzzle, Metroidvania, Fox, Side Scroller, Relaxing, Beautiful",0.0,0.0,,"2 Sep, 2016",Swing Swing Submarine,Focus Entertainment,"English, French, Italian, German, Spanish - Spain","(2,314)","(2,858)",544,"150.000,00₫",-80%
Billionaire Lovers,"Casual, Indie, RPG","Visual Novel, Education, RPG, Psychological Horror, Anime, Emotional, Story Rich, Casual, Interactive Fiction, 2D Platformer, 2D, First-Person, Indie, Cute, Singleplayer, Text-Based, Cartoon, Drama, Logic, Conspiracy",0.0,0.0,,"2 Jul, 2021",Ayacat Games,Ayacat Games,"English, Simplified Chinese","(3,189)","(3,337)",148,"43.000,00₫",-20%
Captain Pawsome,"Action, Adventure, Casual, RPG, Simulation, Early Access","Early Access, Adventure, Fishing, Story Rich, Emotional, Management, Casual, Pixel Graphics, RPG, Indie, Relaxing, Hand-drawn, Simulation, Building, Base Building, Exploration, Life Sim, Farming Sim, 2D, Cute",0.0,0.0,No Place Like Home,"12 Dec, 2023",Chicken Launcher,Awaken Realms,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese, Portuguese - Brazil, Polish",11,18,7,"205.000,00₫",
Adorable Witch 3,"Casual, Indie, Strategy","Strategy, Casual, Puzzle, Anime, Idler, 2D, Trading Card Game, Cute, Relaxing, Indie, Funny, Atmospheric, Singleplayer, Romance, Dating Sim, RPG, Female Protagonist, 2D Platformer, Exploration, Cartoon",1.0,1.0,,"7 May, 2022",Lovely Games,Lovely Games,"English, Russian, Japanese, Simplified Chinese, Traditional Chinese, Korean",443,518,75,"45.000,00₫",-40%
Silent Rain,"Action, Adventure, Indie, Early Access","Horror, Multiplayer, Action, Survival Horror, Co-op, First-Person, Atmospheric, Psychological Horror, Survival, Singleplayer, Gore, Dark, Adventure, Indie, Story Rich, Puzzle, Exploration, Mystery, Online Co-Op, Early Access",1.0,1.0,,"20 Oct, 2023",Seedlers Interactive,Seedlers Interactive,"English, French, German, Simplified Chinese, Japanese, Spanish - Spain, Korean",64,96,32,"142.000,00₫",-35%
Battlerite,"Action, Free to Play","PvP, Multiplayer, MOBA, Competitive, Action, Free to Play, Arena Shooter, Fast-Paced, Team-Based, Fighting, Top-Down, Early Access, Strategy, eSports, Difficult, Great Soundtrack, RPG, Top-Down Shooter, Hack and Slash, Atmospheric",1.0,0.0,,"8 Nov, 2017",Stunlock Studios,Stunlock Studios,"English, French, Italian, German, Spanish - Spain, Russian, Portuguese - Brazil, Simplified Chinese, Korean, Turkish, Japanese","(49,937)","(59,131)","(9,194)",Free,
Dungeons of Dredmor,"Casual, Indie, RPG","Traditional Roguelike, Roguelike, Turn-Based, RPG, Dungeon Crawler, Indie, Comedy, Perma Death, Replay Value, Singleplayer, Fantasy, Funny, Casual, Crafting, Procedural Generation, Moddable, 2D, Top-Down, Difficult, Roguelite",1.0,0.0,,"13 Jul, 2011","Gaslamp Games, Inc.","Gaslamp Games, Inc.",English,"(4,838)","(5,146)",308,"115.000,00₫",-40%
Lucky's Tale,"Action, Adventure, Casual, Indie","3D Platformer, Platformer, Action-Adventure, VR, 6DOF, 3D, Action, Cute, Collectathon, Colorful, Family Friendly, Third Person, Cartoony, Adventure, Retro, Fantasy, Physics, Modern, Singleplayer, Wholesome",0.0,0.0,,"9 Dec, 2021",Playful Corp.,Playful Corp.,"English, French, German, Spanish - Spain, Korean",43,48,5,"188.000,00₫",-70%
Idle Big Devil,"Adventure, Casual, Free to Play, Indie, Strategy","Free to Play, Strategy, Casual, Idler, Indie, Adventure, Clicker, Card Game, Sexual Content, Early Access, Anime",1.0,0.0,Idle Big Devil,"3 Nov, 2021","HONG KONG SPARK SOFTWARE TECHNOLOGY CO., LIMITED","HONG KONG SPARK SOFTWARE TECHNOLOGY CO., LIMITED","English, Simplified Chinese, Traditional Chinese","(3,155)","(3,810)",655,Free,
Downfall,"Adventure, Indie","Adventure, Indie, Psychological Horror, Story Rich, Horror, Point & Click, Atmospheric, Great Soundtrack, Dark, Singleplayer, Mature, Drama, 2D, Gore, Choices Matter, Surreal, Puzzle",1.0,1.0,Devil Came Through Here,"15 Feb, 2016",Harvester Games,Screen 7,"English, Italian, Portuguese - Brazil, Russian, French, German, Spanish - Spain","(1,161)","(1,238)",77,"142.000,00₫",-85%
NOBUNAGA'S AMBITION: Sphere of Influence,Strategy,"Strategy, Historical, Grand Strategy, Simulation, RTS, War, Wargame, Character Customization, Real Time Tactics, Immersive Sim, 3D, Diplomacy, Military, Tactical, Alternate History, Resource Management, Replay Value, Singleplayer, Great Soundtrack, Addictive",1.0,0.0,"KOEI TECMO GAMES CO., LTD.","1 Sep, 2015","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","English, Japanese",485,580,95,"480.000,00₫",
Franchise Hockey Manager 9,"Simulation, Sports, Strategy","Sports, Strategy, Simulation, Sandbox, Turn-Based Strategy, Immersive Sim, Turn-Based Tactics, 2D, Text-Based, Management, Top-Down, Choices Matter, Moddable, Resource Management, Local Multiplayer, Hockey, Singleplayer",0.0,0.0,Franchise Hockey Manager,"8 Nov, 2022",Out of the Park Developments,Out of the Park Developments,English,183,220,37,"260.000,00₫",
Heroes of the Three Kingdoms 3,"Action, RPG, Simulation, Strategy","Strategy, Strategy RPG, Singleplayer, 2D, Military, RTS, Turn-Based Tactics, Wargame, Turn-Based Strategy, Base Building, Simulation, Action, RPG, Grand Strategy, Historical, PvE, Moddable",0.0,0.0,三國群英傳,"12 Nov, 2020","USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd.","English, Simplified Chinese, Traditional Chinese",523,601,78,"30.000,00₫",-40%
后发制人,"Casual, Free to Play, Racing, RPG, Strategy","Racing, Card Battler, Turn-Based Tactics, Trading Card Game, PvP, Strategy, Card Game, RPG, Turn-Based Strategy, Cute, Casual, Historical, Cartoony, Colorful, Drama, Cartoon, Free to Play, Co-op, Online Co-Op, Multiplayer",0.0,0.0,,"9 Aug, 2023",后发制人,后发制人,"English, Simplified Chinese",440,460,20,Free,
Grim Legends 3: The Dark City,"Adventure, Casual","Hidden Object, Casual, Adventure, Point & Click, Female Protagonist, Fantasy, Family Friendly, Puzzle, Story Rich, Atmospheric, Singleplayer, 2D, Horror, Relaxing, Colorful, Violent, Mystery, Short, Great Soundtrack, Visual Novel",1.0,0.0,AM Hidden Object Games,"2 Jun, 2016",Artifex Mundi,Artifex Mundi,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese, Korean, Polish, Portuguese - Brazil, Russian",667,718,51,"205.000,00₫",-75%
Higurashi When They Cry Hou - Ch.4 Himatsubushi,"Adventure, Casual, Indie","Visual Novel, Adventure, Anime, Indie, Casual, Mystery, Story Rich, Psychological Horror, Dark, Great Soundtrack, Singleplayer, Atmospheric, Horror, Psychological, Cult Classic, Cute, 2D, Linear",0.0,0.0,When They Cry,"13 Oct, 2016",07th Expansion,MangaGamer,"English, Japanese",502,514,12,"80.000,00₫",-50%
OPUS: The Day We Found Earth,"Adventure, Indie","Story Rich, Atmospheric, Visual Novel, Singleplayer, Puzzle, Space, Narration, Adventure, Female Protagonist, 2D, Point & Click, Interactive Fiction, Indie, Exploration, Colorful, Emotional, Anime, Sci-fi, Mystery, Relaxing",1.0,0.0,SIGONO INC.,"21 Apr, 2016",SIGONO INC.,SIGONO INC.,"English, Japanese, Simplified Chinese, Traditional Chinese, Korean","(1,235)","(1,422)",187,"205.000,00₫",-50%
WWE 2K BATTLEGROUNDS,"Action, Sports","Action, Sports, Fighting, Wrestling, 4 Player Local, Cartoony, Multiplayer",1.0,0.0,WWE 2K,"17 Sep, 2020",Saber Interactive,2K,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Simplified Chinese, Traditional Chinese, Korean",590,"(1,019)",429,"698.000,00₫",-80%
The Eyes of Ara,"Adventure, Casual, Indie","Adventure, Puzzle, Mystery, Point & Click, Logic, First-Person, Hidden Object, Exploration, Atmospheric, Investigation, Difficult, Old School, Sci-fi, Female Protagonist, Story Rich, 3D, Singleplayer, Casual, Indie, Retro",1.0,0.0,100 Stones,"19 Jul, 2016",100 Stones Interactive,100 Stones Interactive,"English, German, Russian, French, Italian, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese",580,695,115,"165.000,00₫",-75%
Aliens versus Predator Classic 2000,Action,"FPS, Classic, Action, Horror, Aliens, Sci-fi, Multiplayer, Shooter, Retro, First-Person, Singleplayer, Atmospheric, Gore, Fast-Paced, Stealth, Survival, Old School, 1990's",0.0,0.0,,"28 Mar, 2000",Rebellion,Rebellion,"English, Dutch, French, German, Spanish - Spain","(2,137)","(2,439)",302,"73.500,00₫",-80%
Trimps,"Casual, Free to Play, Indie, Strategy","Strategy, Free to Play, Idler, Text-Based, Automation, Casual, Auto Battler, Management, Dark Humor, Aliens, Building, Logic, Sci-fi, Time Manipulation, Singleplayer, Point & Click, Resource Management, Time Management, Indie",0.0,0.0,,"2 May, 2022",Greensatellite,Greensatellite,English,908,981,73,Free,
Logiart Grimoire,"Casual, Indie, Strategy, Early Access","Puzzle, Casual, Word Game, Pixel Graphics, Puzzle Platformer, Fantasy, Strategy, Collectathon, Crafting, Mystery, Magic, Hidden Object, 2D, Detective, Singleplayer, Investigation, Early Access, Story Rich, Indie",0.0,0.0,,"12 Sep, 2023",Jupiter Corporation,Jupiter Corporation,"English, Japanese",83,86,3,"180.000,00₫",
Idle Heros,"Adventure, Casual, Indie, Massively Multiplayer, Simulation, Early Access","Exploration, Casual, Idler, 2D Platformer, Simulation, Automation, Adventure, Card Game, Massively Multiplayer, 2D, Text-Based, Relaxing, Early Access, Indie, Magic, Dark, Combat",0.0,0.0,,"28 May, 2023",EGAME,EGAME,"English, Simplified Chinese",212,251,39,Free,
Drift racing car,"Action, Adventure, Casual, Indie, Racing, Simulation, Sports","3D Platformer, Combat Racing, Racing, Sports, Automobile Sim, 3D, First-Person, Third Person, Funny, Colorful, Simulation, Casual, Action, Level Editor, Singleplayer, Indie, Adventure",0.0,0.0,,"29 Sep, 2022",Musa CANDIR,Musa CANDIR,"English, Simplified Chinese, Traditional Chinese",146,153,7,"47.000,00₫",
Xuan-Yuan Sword VII,"Action, Adventure, RPG","RPG, Martial Arts, Historical, Singleplayer, Story Rich, Action RPG, Action, Adventure, Action-Adventure, Third Person, Hack and Slash, Open World, Atmospheric, Dungeon Crawler, Fantasy, Choices Matter, Great Soundtrack, Souls-like",1.0,0.0,軒轅劍,"28 Oct, 2020",SOFTSTAR,SOFTSTAR,"English, Simplified Chinese, Traditional Chinese, German, Russian, Japanese, Spanish - Latin America, Korean, French, Turkish","(5,827)","(9,270)","(3,443)","280.000,00₫",
Nodes Escape,Indie,"Word Game, Puzzle, Text-Based, Exploration, Detective, Adventure, Abstract, Minimalist, Dark Fantasy, Mystery, Indie, Survival, Singleplayer, Clicker",0.0,0.0,,"14 Jul, 2023",夜喵,夜喵,"English, Simplified Chinese",319,368,49,"30.000,00₫",-25%
A Good Snowman Is Hard To Build,Indie,"Cute, Relaxing, Puzzle, Sokoban, Open World, Exploration, Difficult, Strategy, Isometric, Post-apocalyptic, Surreal, Casual, Abstract, Cartoony, Colorful, Minimalist, Stylized, Family Friendly, Great Soundtrack, Atmospheric",0.0,0.0,Draknek & Friends,"25 Feb, 2015",Alan Hazelden,Draknek,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese",838,878,40,"205.000,00₫",-75%
Hana no No ni Saku Utakata no,"Adventure, Casual","Casual, Adventure, Visual Novel, Interactive Fiction, Drama, Word Game, Anime, Story Rich, Cute, Comedy, Fantasy, Cartoony, Text-Based, Multiple Endings, Singleplayer, FPS",0.0,0.0,,"22 Apr, 2022",Applique,HIKARI FIELD,"English, Japanese, Simplified Chinese, Traditional Chinese",446,459,13,"250.000,00₫",-48%
Coloring Game 4,"Casual, Free to Play, Indie","Free to Play, Indie, Casual, Design & Illustration, Pixel Graphics, Colorful, Relaxing, Singleplayer, Great Soundtrack, Point & Click, Short, Puzzle",1.0,0.0,Coloring Game,"30 Jul, 2021",L. Stotch,L. Stotch,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Portuguese - Brazil, Hungarian, Vietnamese, Greek, Danish, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Korean, Dutch, Norwegian, Polish, Portuguese - Portugal, Romanian, Russian, Thai, Turkish, Ukrainian, Finnish, Czech, Swedish, Japanese, Azerbaijani, Albanian, Amharic, Armenian, Assamese, Afrikaans, Basque, Belarusian, Bangla, Bosnian, Valencian, Welsh, Wolof, Galician, Georgian, Gujarati, Dari, Zulu, Hebrew, Igbo, Indonesian, Irish, Icelandic, Yoruba, Kazakh, Kannada, Catalan, Quechua, Kinyarwanda, K'iche', Konkani, Xhosa, Khmer, Kyrgyz, Latvian, Lithuanian, Luxembourgish, Macedonian, Malay, Malayalam, Maltese, Maori, Marathi, Mongolian, Nepali, Odia, Punjabi (Gurmukhi), Punjabi (Shahmukhi), Persian, Serbian, Sotho, Sinhala, Sindhi, Slovak, Slovenian, Sorani, Swahili, Tajik, Tamil, Tatar, Telugu, Tigrinya, Tswana, Turkmen, Uzbek, Uyghur, Urdu, Filipino, Hausa, Hindi, Croatian, Cherokee, Scots, Estonian","(1,590)","(1,693)",103,Free,
Warbox Sandbox,"Action, Indie, Simulation, Strategy","Action, Simulation, Strategy, God Game, Shooter, FPS, Immersive Sim, Third-Person Shooter, 3D, Cartoon, Cartoony, Colorful, First-Person, Stylized, Third Person, Alternate History, Archery, Artificial Intelligence, Heist, Historical",0.0,1.0,,"24 Jun, 2022",Madar Games,Madar Games,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Swedish, Ukrainian",161,200,39,"80.000,00₫",-33%
SpaceBourne,"Indie, RPG, Simulation","Simulation, RPG, Indie, Space, Space Sim, Exploration, Sci-fi, Open World, Singleplayer, Early Access",0.0,0.0,,"5 Oct, 2018",Burak Dabak,Burak Dabak,"English, Turkish",569,726,157,"165.000,00₫",-50%
Vampire: The Masquerade - Shadows of New York,Indie,"Visual Novel, Indie, Vampire, Female Protagonist, Story Rich, Choices Matter, LGBTQ+, Great Soundtrack, Singleplayer, Horror, Sexual Content",1.0,1.0,Vampire: The Masquerade,"10 Sep, 2020",Draw Distance,Draw Distance,"English, French, Portuguese - Brazil, Russian",953,"(1,247)",294,"150.000,00₫",-80%
Dandy Ace,"Action, Indie","Action, Indie, Roguelite, Isometric, Roguelike, Difficult, Dungeon Crawler, Magic, Singleplayer, Procedural Generation, Replay Value, Perma Death, Atmospheric, Hand-drawn, 2D, Action Roguelike",0.0,0.0,NEOWIZ,"25 Mar, 2021",Mad Mimic,NEOWIZ,"English, Spanish - Spain, Portuguese - Brazil, French, German, Japanese, Simplified Chinese, Traditional Chinese, Korean, Polish, Russian",946,"(1,063)",117,"188.000,00₫",
Meteorfall: Krumit's Tale,"Indie, RPG, Strategy","Card Game, Roguelite, Deckbuilding, Indie, Strategy, RPG, Roguelike Deckbuilder, Card Battler, Cartoony, Hand-drawn, Dungeon Crawler, Roguelike, Casual, Puzzle, Colorful, Stylized, Procedural Generation, Singleplayer, Sequel, Early Access",1.0,0.0,,"22 Jul, 2020",Slothwerks,Slothwerks,"English, Simplified Chinese, Spanish - Spain, Spanish - Latin America, Japanese, Polish, Russian, Czech, Korean",716,783,67,"165.000,00₫",-50%
Willy Morgan and the Curse of Bone Town,"Adventure, Indie","Atmospheric, Point & Click, Retro, Adventure, Pirates, Puzzle, Old School, Cartoony, Funny, Story Rich, Singleplayer, 2.5D, Exploration, Mystery, Investigation, Colorful, Nonlinear, Comedy, 1980s, Cartoon",0.0,0.0,Leonardo Interactive,"11 Aug, 2020",imaginarylab,Leonardo Interactive,"English, Italian, French, German, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Portuguese - Brazil",348,394,46,"188.000,00₫",-60%
Bahnsen Knights,"Adventure, Indie","Choose Your Own Adventure, Interactive Fiction, Visual Novel, Narrative, Thriller, Pixel Graphics, Story Rich, 2D, 1980s, Detective, Choices Matter, Conversation, Singleplayer, Adventure, Investigation, Mystery, America, Retro, Supernatural, Dark",0.0,1.0,Pixel Pulps,"14 Dec, 2023",LCB Game Studio,Chorus Worldwide Games,"English, French, German, Japanese, Spanish - Latin America",24,24,0,"142.000,00₫",
S.W.I.N.E. HD Remaster,Strategy,"Strategy, RTS, Retro, Funny, Real Time Tactics, Tanks, War, Real-Time, Real-Time with Pause, Multiplayer, Classic, Remake, Action, Comedy, PvE, Difficult, Moddable, Great Soundtrack, Indie, Cold War",0.0,0.0,Assemble Entertainment,"23 May, 2019",Kite Games,Assemble Entertainment,"English, French, Italian, German, Spanish - Spain, Hungarian, Russian, Czech, Simplified Chinese",929,"(1,018)",89,"120.000,00₫",-80%
SOULVARS,"Adventure, RPG","JRPG, Deckbuilding, Pixel Graphics, Turn-Based Combat, Cyberpunk, Card Game, RPG, 2D, Anime, Adventure, Tactical RPG, CRPG, Collectathon, Sci-fi, Dungeon Crawler, Score Attack, Futuristic, Strategy, Singleplayer, Character Customization",0.0,0.0,SHUEISHA GAMES,"18 Jun, 2023",ginolabo,SHUEISHA GAMES,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Japanese, Korean, Hindi",64,69,5,"260.000,00₫",-30%
Supermarket Security Simulator,"Action, Indie, Simulation","Simulation, Action-Adventure, Shooter, Hero Shooter, Third-Person Shooter, Realistic, 3D, Third Person, Atmospheric, Comedy, Dark Humor, Violent, Action, Indie, Funny, Combat, Narration, PvE, Singleplayer",0.0,1.0,,"20 Nov, 2023",Pigeon-G,Pigeon-G,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Portugal, Russian, Simplified Chinese, Turkish",12,17,5,"205.000,00₫",
Lonesome Village,"Adventure, Indie","Cozy, Relaxing, Adventure, Puzzle, Exploration, Life Sim, Wholesome, Indie, Colorful, Top-Down, 2D, Controller, Collectathon, Character Customization, Singleplayer, Fox, Crafting, Remake, Cute, Simulation",1.0,0.0,Ogre Pixel,"1 Nov, 2022",Ogre Pixel,Ogre Pixel,"English, Japanese, Spanish - Latin America, Italian, Spanish - Spain, Portuguese - Brazil, Portuguese - Portugal, German",111,139,28,"188.000,00₫",-30%
Universe For Sale,"Adventure, Casual, Indie","Atmospheric, Point & Click, Visual Novel, Hand-drawn, Exploration, Sci-fi, Adventure, 2D, Cute, Comic Book, Crafting, Time Travel, Conversation, Narration, Female Protagonist, Indie, Story Rich, Singleplayer, Casual",1.0,0.0,,"16 Nov, 2023",Tmesis Studio,Akupara Games,"English, Italian, French, Japanese, Simplified Chinese, Spanish - Spain",48,49,1,"165.000,00₫",
Bus Driving Sim 22,Simulation,"Simulation, Automobile Sim, Driving, Transportation, Open World, America, Realistic, Multiplayer, Moddable, Immersive Sim, 3D, Physics, First-Person, Third Person, Relaxing, PvP, Tutorial, Singleplayer, Controller, Family Friendly",0.0,0.0,,"2 Feb, 2023",Ovilex Software,Ovilex Software,"English, French, Italian, German, Spanish - Spain, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Japanese",188,308,120,"321.000,00₫",-75%
Reign of the Renegade,"Indie, Strategy","Card Battler, Strategy, Turn-Based Tactics, Dungeon Crawler, Card Game, Roguelike, First-Person, Deckbuilding, Turn-Based Combat, Pixel Graphics, Indie, Fantasy, Class-Based, Singleplayer, Roguelite",0.0,0.0,,"15 Dec, 2023",Dabuoys,Dabuoys,English,34,37,3,"73.500,00₫",
Paint Girl,"Action, Adventure, Casual, Indie, Simulation","Sexual Content, Hentai, Casual, Adventure, Anime, Relaxing, Colorful, Nudity, Life Sim, Puzzle, Singleplayer, Idler, Immersive Sim, Simulation, Experimental, Cartoon, Mature, NSFW, Indie, Action-Adventure",1.0,1.0,,"25 Sep, 2020",ADOG,ADOG,"English, Simplified Chinese, Traditional Chinese",644,751,107,"30.000,00₫",-50%
Coin Flipper,"Casual, Indie","Idler, Clicker, Casual, Point & Click, Collectathon, Indie, Relaxing, Score Attack, Singleplayer, Minimalist, Linear, 2D, Puzzle, Colorful, Strategy, Hidden Object, Cartoon, Cartoony, Cute, Stylized",0.0,0.0,,"3 Oct, 2022",Simon Eftestol,Simon Eftestol,"English, Japanese, Korean, Russian, Simplified Chinese",150,164,14,"45.000,00₫",-40%
Carrier Deck,Simulation,"Naval Combat, Simulation, Time Management, Naval, Military, War, Strategy, Management, Singleplayer, Tactical",0.0,0.0,,"15 Jun, 2017",Every Single Soldier,Slitherine Ltd.,English,823,926,103,"142.000,00₫",-51%
Faerie Afterlight,"Action, Adventure, Indie","Cute, 2D, Stylized, Exploration, Action-Adventure, Magic, Controller, Metroidvania, 2D Platformer, Puzzle Platformer, Platformer, Surreal, Action, Colorful, Minimalist, Fantasy, Puzzle, Atmospheric, Adventure, Combat",0.0,0.0,,"28 Sep, 2023",Clay Game Studio,Mastiff,"English, French, German, Japanese, Simplified Chinese, Indonesian",46,58,12,"529.000,00₫",-76%
Undaunted Normandy,"Strategy, Early Access","Strategy, Board Game, Turn-Based Strategy, World War II, Deckbuilding, Wargame, Multiplayer, Singleplayer, Card Game, Turn-Based Tactics, Grid-Based Movement, Early Access, Tabletop, Turn-Based Combat, Tutorial, Local Multiplayer, 3D",0.0,0.0,,"28 Jul, 2023",Bookmark Games,Bookmark Games,English,69,79,10,"215.000,00₫",
CHAOS CODE -NEW SIGN OF CATASTROPHE-,Action,"Action, 2D Fighter, Fighting, Anime, eSports, Controller, Cute, Local Multiplayer, Singleplayer, Difficult, Arcade, Great Soundtrack, 2D",0.0,0.0,,"15 Mar, 2017",FK Digital,Arc System Works,"English, Japanese, Korean, Traditional Chinese",212,241,29,"188.000,00₫",-80%
Capitalism 2,"Indie, Simulation, Strategy","Economy, Simulation, Strategy, Management, Capitalism, Indie, Villain Protagonist, RTS",0.0,0.0,Enlight Software,"17 Dec, 2001",Enlight Software Limited,Enlight Software Limited ,English,378,463,85,"120.000,00₫",-25%
Decisive Campaigns: Barbarossa,Strategy,"Strategy, World War II, Turn-Based Strategy, Strategy RPG, Replay Value, Wargame, Singleplayer, Multiplayer, Historical, Hex Grid",0.0,0.0,,"24 Nov, 2015",VR Designs,Slitherine Ltd.,English,175,199,24,"585.000,00₫",-70%
SAMURAI WARRIORS: Spirit of Sanada,Action,"Action, Hack and Slash, Musou, Historical, Anime, Singleplayer",1.0,0.0,"KOEI TECMO GAMES CO., LTD.","23 May, 2017","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","English, Japanese, Traditional Chinese",504,608,104,"992.000,00₫",
