Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
Shin Megami Tensei III Nocturne HD Remaster,RPG,"JRPG, RPG, Creature Collector, Party-Based RPG, Demons, Atmospheric, Dark, Turn-Based Strategy, Post-apocalyptic, Strategy RPG, Anime, Mythology, Dystopian, Choices Matter, Fantasy, Multiple Endings, Turn-Based Combat, Controller, Story Rich, Conversation",1.0,1.0,Shin Megami Tensei,"20 May, 2021",ATLUS,SEGA,"English, Japanese, Traditional Chinese, French, Italian, German, Spanish - Spain, Korean","(2,813)","(3,206)",393,"1.280.000,00₫",-70%
Counter-Strike: Source,Action,"Shooter, FPS, Action, Multiplayer, Team-Based, First-Person, Competitive, Tactical, PvP, eSports, Military, War, Strategy, Moddable, Singleplayer, Difficult, Atmospheric, Survival, Simulation, Sandbox",0.0,1.0,,"1 Nov, 2004",Valve,Valve,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish","(158,638)","(164,763)","(6,125)","142.000,00₫",-90%
Bang-On Balls: Chronicles,"Action, Adventure, Casual, Indie","Combat, Co-op, Open World, Local Co-Op, Sandbox, Singleplayer, Adventure, Action, Online Co-Op, Split Screen, Exploration, Funny, Physics, Multiplayer, Collectathon, PvE, Comedy, 3D, 3D Platformer, Family Friendly",1.0,0.0,Untold Tales,"5 Oct, 2023",Exit Plan Games,Untold Tales,"English, French, German, Polish, Russian, Portuguese - Brazil, Spanish - Spain, Simplified Chinese, Japanese, Korean, Turkish","(3,634)","(3,752)",118,"321.000,00₫",-40%
Yakuza 3 Remastered,"Action, Adventure","Action, Adventure, Beat 'em up, Open World, Story Rich, RPG, Action RPG, Third Person, Crime, JRPG, Drama, Violent, Comedy, Sexual Content, Singleplayer, Funny, Combat, Anime, Great Soundtrack, Action-Adventure",0.0,1.0,Yakuza,"28 Jan, 2021",Ryu Ga Gotoku Studio,SEGA,"English, Japanese, Traditional Chinese, Korean","(5,258)","(6,517)","(1,259)","358.000,00₫",
Spirittea,"Adventure, RPG, Simulation","RPG, Simulation, Life Sim, Fantasy, Relaxing, Pixel Graphics, Adventure, Building, Colorful, Singleplayer, Exploration, Management, Story Rich, Resource Management, 2D, Cute, Creature Collector",1.0,0.0,No More Robots,"13 Nov, 2023",Cheesemaster Games,No More Robots,"English, French, German, Japanese, Korean, Simplified Chinese, Italian, Spanish - Spain",352,398,46,"260.000,00₫",-15%
This War of Mine,"Adventure, Indie, Simulation","Survival, War, Atmospheric, Singleplayer, Strategy, Simulation, Choices Matter, Crafting, Base Building, Resource Management, Story Rich, Management, Post-apocalyptic, Indie, Emotional, Realistic, Drama, Psychological, 2.5D, Stealth",1.0,1.0,11 bit studios,"14 Nov, 2014",11 bit studios,11 bit studios,"English, French, German, Polish, Russian, Italian, Portuguese - Brazil, Spanish - Spain, Japanese, Korean, Turkish, Simplified Chinese","(88,100)","(94,728)","(6,628)","260.000,00₫",-80%
The Jackbox Party Pack 5,"Casual, Indie, Strategy","Casual, Local Multiplayer, Comedy, Trivia, Multiplayer, Funny, Party Game, Strategy, Indie, Party, Board Game, 4 Player Local, Local Co-Op, Co-op",1.0,0.0,Jackbox Games,"17 Oct, 2018","Jackbox Games, Inc.","Jackbox Games, Inc.",English,"(2,369)","(2,530)",161,"385.000,00₫",-50%
Death's Door,"Action, Adventure, Indie, RPG","Action, Adventure, RPG, Action-Adventure, Action RPG, Hack and Slash, Exploration, Souls-like, Isometric, Dungeon Crawler, 3D Platformer, 3D, Colorful, Dark Fantasy, Indie, Metroidvania, Third Person, Singleplayer, Fantasy, Combat",1.0,0.0,Devolver Digital,"20 Jul, 2021",Acid Nerve,Devolver Digital,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","(13,895)","(14,840)",945,"260.000,00₫",-60%
The Dark Pictures Anthology: The Devil in Me,Adventure,"Choices Matter, Multiple Endings, Horror, Action-Adventure, Third Person, Story Rich, Narration, Hack and Slash, Psychological Horror, Realistic, Atmospheric, Crime, Drama, Mystery, Psychological, Survival, Adventure, Cinematic, Quick-Time Events, 1990's",1.0,1.0,The Dark Pictures,"17 Nov, 2022",Supermassive Games,Bandai Namco Entertainment Europe,"English, French, Italian, German, Spanish - Spain, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(1,802)","(3,265)","(1,463)","480.000,00₫",-50%
Bear and Breakfast,"Adventure, Casual, RPG, Simulation","Cartoon, Economy, Life Sim, Relaxing, RPG, Casual, Singleplayer, Cute, Story Rich, Atmospheric, Simulation, Crafting, Hand-drawn, Colorful, Family Friendly, Nature, Management, Resource Management, Building, Funny",0.0,0.0,,"28 Jul, 2022",Gummy Cat,Armor Games Studios,"English, French, German, Spanish - Spain, Simplified Chinese, Japanese, Portuguese - Brazil","(3,584)","(3,965)",381,"260.000,00₫",-35%
Asphalt 9: Legends,Racing,"Racing, Multiplayer, Free to Play, Controller, Driving, Arcade, Third Person, Realistic, 3D, Modern, Singleplayer, Physics, PvP, PvE, Adventure, Action, Fast-Paced, Automobile Sim, eSports, Sports",0.0,0.0,Asphalt,"2 Aug, 2022",Gameloft,Gameloft,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Thai, Traditional Chinese, Turkish","(5,857)","(7,150)","(1,293)",Free,
